start experiment
RPS: 27000, tail_lat: {'0.500000': '28.159', '0.900000': '42.143', '0.990625': '74.431'}
RPS: 27200, tail_lat: {'0.500000': '1.398', '0.900000': '5.527', '0.990625': '38.335'}
RPS: 27400, tail_lat: {'0.500000': '1.262', '0.900000': '1.747', '0.990625': '34.175'}
RPS: 27600, tail_lat: {'0.500000': '1.306', '0.900000': '1.845', '0.990625': '27.151'}
RPS: 27800, tail_lat: {'0.500000': '3.497', '0.900000': '7.399', '0.990625': '41.023'}
RPS: 28000, tail_lat: {'0.500000': '1.590', '0.900000': '2.723', '0.990625': '30.207'}
RPS: 28200, tail_lat: {'0.500000': '37.439', '0.900000': '61.247', '0.990625': '79.295'}
RPS: 28400, tail_lat: {'0.500000': '223.487', '0.900000': '314.623', '0.990625': '371.455'}
RPS: 28600, tail_lat: {'0.500000': '369.663', '0.900000': '509.695', '0.990625': '579.583'}
RPS: 28800, tail_lat: {'0.500000': '487.167', '0.900000': '696.319', '0.990625': '786.943'}
RPS: 29000, tail_lat: {'0.500000': '620.031', '0.900000': '873.471', '0.990625': '979.967'}
RPS: 29200, tail_lat: {'0.500000': '792.063', '0.900000': '1112.063', '0.990625': '1233.919'}
RPS: 29400, tail_lat: {'0.500000': '952.319', '0.900000': '1314.815', '0.990625': '1436.671'}
RPS: 29600, tail_lat: {'0.500000': '1062.911', '0.900000': '1484.799', '0.990625': '1617.919'}
RPS: 29800, tail_lat: {'0.500000': '1185.791', '0.900000': '1652.735', '0.990625': '1809.407'}
end experiment
