start experiment
RPS: 40000, tail_lat: {'0.500000': '4.963', '0.900000': '10.559', '0.990625': '35.551'}
RPS: 42000, tail_lat: {'0.500000': '0.492', '0.900000': '0.567', '0.990625': '38.015'}
RPS: 44000, tail_lat: {'0.500000': '0.496', '0.900000': '0.584', '0.990625': '26.911'}
RPS: 46000, tail_lat: {'0.500000': '74.431', '0.900000': '91.519', '0.990625': '117.183'}
RPS: 48000, tail_lat: {'0.500000': '9.103', '0.900000': '18.895', '0.990625': '29.599'}
RPS: 50000, tail_lat: {'0.500000': '44.447', '0.900000': '60.799', '0.990625': '69.055'}
RPS: 52000, tail_lat: {'0.500000': '43.423', '0.900000': '59.103', '0.990625': '80.703'}
RPS: 54000, tail_lat: {'0.500000': '104.511', '0.900000': '122.751', '0.990625': '144.383'}
RPS: 55000, tail_lat: {'0.500000': '121.727', '0.900000': '142.079', '0.990625': '163.583'}
RPS: 55500, tail_lat: {'0.500000': '127.103', '0.900000': '145.407', '0.990625': '169.215'}
RPS: 56000, tail_lat: {'0.500000': '82.879', '0.900000': '101.055', '0.990625': '118.783'}
RPS: 56500, tail_lat: {'0.500000': '82.367', '0.900000': '99.903', '0.990625': '117.695'}
RPS: 57000, tail_lat: {'0.500000': '114.879', '0.900000': '137.599', '0.990625': '168.575'}
RPS: 57500, tail_lat: {'0.500000': '146.943', '0.900000': '167.807', '0.990625': '188.031'}
RPS: 58000, tail_lat: {'0.500000': '138.623', '0.900000': '155.775', '0.990625': '179.583'}
RPS: 58500, tail_lat: {'0.500000': '99.903', '0.900000': '121.471', '0.990625': '131.327'}
RPS: 59000, tail_lat: {'0.500000': '106.111', '0.900000': '126.015', '0.990625': '140.799'}
RPS: 59500, tail_lat: {'0.500000': '149.375', '0.900000': '168.191', '0.990625': '189.695'}
RPS: 60000, tail_lat: {'0.500000': '114.431', '0.900000': '135.551', '0.990625': '152.191'}
RPS: 60500, tail_lat: {'0.500000': '149.887', '0.900000': '177.023', '0.990625': '203.647'}
RPS: 61000, tail_lat: {'0.500000': '164.863', '0.900000': '191.999', '0.990625': '218.751'}
RPS: 61500, tail_lat: {'0.500000': '230.655', '0.900000': '289.023', '0.990625': '329.471'}
RPS: 62000, tail_lat: {'0.500000': '396.543', '0.900000': '520.703', '0.990625': '585.727'}
RPS: 62500, tail_lat: {'0.500000': '560.127', '0.900000': '737.279', '0.990625': '821.759'}
RPS: 63000, tail_lat: {'0.500000': '637.439', '0.900000': '830.975', '0.990625': '926.719'}
RPS: 63500, tail_lat: {'0.500000': '676.863', '0.900000': '885.247', '0.990625': '978.943'}
end experiment
