start experiment
RPS: 14000, tail_lat: {'0.500000': '57.439', '0.900000': '973.823', '0.990625': '1045.503'}
RPS: 14200, tail_lat: {'0.500000': '16.023', '0.900000': '31.167', '0.990625': '45.183'}
RPS: 14400, tail_lat: {'0.500000': '2.115', '0.900000': '14.175', '0.990625': '15.191'}
RPS: 14600, tail_lat: {'0.500000': '2.509', '0.900000': '13.967', '0.990625': '15.959'}
RPS: 14800, tail_lat: {'0.500000': '43.327', '0.900000': '57.311', '0.990625': '70.527'}
RPS: 15000, tail_lat: {'0.500000': '3.219', '0.900000': '13.599', '0.990625': '18.111'}
RPS: 15200, tail_lat: {'0.500000': '4.005', '0.900000': '14.063', '0.990625': '26.863'}
RPS: 15400, tail_lat: {'0.500000': '5.959', '0.900000': '19.743', '0.990625': '32.543'}
RPS: 15600, tail_lat: {'0.500000': '12.591', '0.900000': '26.159', '0.990625': '41.855'}
RPS: 15800, tail_lat: {'0.500000': '47.071', '0.900000': '83.711', '0.990625': '114.175'}
RPS: 16000, tail_lat: {'0.500000': '141.567', '0.900000': '223.615', '0.990625': '294.911'}
RPS: 16200, tail_lat: {'0.500000': '300.799', '0.900000': '457.215', '0.990625': '575.487'}
RPS: 16400, tail_lat: {'0.500000': '505.343', '0.900000': '744.447', '0.990625': '914.943'}
end experiment
