start experiment
RPS: 46000, tail_lat: {'0.500000': '6.735', '0.900000': '11.183', '0.990625': '43.519'}
RPS: 46500, tail_lat: {'0.500000': '1.411', '0.900000': '4.631', '0.990625': '29.215'}
RPS: 47000, tail_lat: {'0.500000': '7.475', '0.900000': '12.951', '0.990625': '37.119'}
RPS: 47500, tail_lat: {'0.500000': '9.087', '0.900000': '17.903', '0.990625': '45.855'}
RPS: 48000, tail_lat: {'0.500000': '15.927', '0.900000': '26.463', '0.990625': '44.511'}
RPS: 48500, tail_lat: {'0.500000': '41.247', '0.900000': '59.935', '0.990625': '74.815'}
RPS: 49000, tail_lat: {'0.500000': '55.135', '0.900000': '77.247', '0.990625': '95.615'}
RPS: 49500, tail_lat: {'0.500000': '92.031', '0.900000': '128.831', '0.990625': '159.615'}
RPS: 50000, tail_lat: {'0.500000': '159.487', '0.900000': '236.159', '0.990625': '280.063'}
RPS: 50500, tail_lat: {'0.500000': '231.295', '0.900000': '320.511', '0.990625': '362.751'}
RPS: 51000, tail_lat: {'0.500000': '343.807', '0.900000': '474.367', '0.990625': '531.455'}
RPS: 51500, tail_lat: {'0.500000': '457.983', '0.900000': '630.783', '0.990625': '700.415'}
end experiment
