start experiment
RPS: 15000, tail_lat: {'0.500000': '1.809', '0.900000': '13.847', '0.990625': '28.351'}
RPS: 15200, tail_lat: {'0.500000': '1.992', '0.900000': '13.647', '0.990625': '27.151'}
RPS: 15400, tail_lat: {'0.500000': '2.239', '0.900000': '13.591', '0.990625': '27.199'}
RPS: 15600, tail_lat: {'0.500000': '2.411', '0.900000': '13.447', '0.990625': '17.135'}
RPS: 15800, tail_lat: {'0.500000': '2.683', '0.900000': '13.295', '0.990625': '16.495'}
RPS: 16000, tail_lat: {'0.500000': '2.983', '0.900000': '13.391', '0.990625': '27.423'}
RPS: 16200, tail_lat: {'0.500000': '3.287', '0.900000': '12.903', '0.990625': '26.447'}
RPS: 16400, tail_lat: {'0.500000': '3.807', '0.900000': '12.743', '0.990625': '24.479'}
RPS: 16600, tail_lat: {'0.500000': '11.783', '0.900000': '24.207', '0.990625': '40.191'}
RPS: 16800, tail_lat: {'0.500000': '5.971', '0.900000': '14.727', '0.990625': '29.791'}
RPS: 17000, tail_lat: {'0.500000': '18.527', '0.900000': '46.207', '0.990625': '65.855'}
RPS: 17200, tail_lat: {'0.500000': '69.631', '0.900000': '120.639', '0.990625': '175.103'}
RPS: 17400, tail_lat: {'0.500000': '170.111', '0.900000': '269.567', '0.990625': '368.383'}
RPS: 17600, tail_lat: {'0.500000': '377.087', '0.900000': '557.055', '0.990625': '677.375'}
RPS: 17800, tail_lat: {'0.500000': '563.711', '0.900000': '821.759', '0.990625': '985.087'}
end experiment
