start experiment
RPS: 14000, tail_lat: {'0.500000': '73.535', '0.900000': '1015.807', '0.990625': '1086.463'}
RPS: 14200, tail_lat: {'0.500000': '3.269', '0.900000': '16.351', '0.990625': '28.863'}
RPS: 14400, tail_lat: {'0.500000': '3.597', '0.900000': '14.287', '0.990625': '18.111'}
RPS: 14600, tail_lat: {'0.500000': '4.287', '0.900000': '14.135', '0.990625': '19.535'}
RPS: 14800, tail_lat: {'0.500000': '44.543', '0.900000': '57.855', '0.990625': '74.495'}
RPS: 15000, tail_lat: {'0.500000': '6.995', '0.900000': '19.391', '0.990625': '36.511'}
RPS: 15200, tail_lat: {'0.500000': '22.607', '0.900000': '50.111', '0.990625': '79.423'}
RPS: 15400, tail_lat: {'0.500000': '117.247', '0.900000': '190.975', '0.990625': '260.095'}
RPS: 15600, tail_lat: {'0.500000': '257.151', '0.900000': '413.951', '0.990625': '538.623'}
RPS: 15800, tail_lat: {'0.500000': '497.663', '0.900000': '732.671', '0.990625': '886.783'}
end experiment
