start experiment
RPS: 13000, tail_lat: {'0.500000': '5.999', '0.900000': '10.871', '0.990625': '15.263'}
RPS: 13200, tail_lat: {'0.500000': '2.619', '0.900000': '4.399', '0.990625': '33.727'}
RPS: 13400, tail_lat: {'0.500000': '2.673', '0.900000': '5.115', '0.990625': '26.543'}
RPS: 13600, tail_lat: {'0.500000': '2.683', '0.900000': '4.507', '0.990625': '40.191'}
RPS: 13800, tail_lat: {'0.500000': '2.759', '0.900000': '5.079', '0.990625': '36.127'}
RPS: 14000, tail_lat: {'0.500000': '3.067', '0.900000': '7.247', '0.990625': '38.143'}
RPS: 14200, tail_lat: {'0.500000': '3.495', '0.900000': '9.191', '0.990625': '35.199'}
RPS: 14400, tail_lat: {'0.500000': '6.211', '0.900000': '11.863', '0.990625': '55.775'}
RPS: 14600, tail_lat: {'0.500000': '28.735', '0.900000': '44.959', '0.990625': '61.919'}
RPS: 14800, tail_lat: {'0.500000': '52.127', '0.900000': '73.791', '0.990625': '94.655'}
RPS: 15000, tail_lat: {'0.500000': '140.159', '0.900000': '186.623', '0.990625': '219.647'}
RPS: 15200, tail_lat: {'0.500000': '283.647', '0.900000': '377.599', '0.990625': '436.223'}
RPS: 15400, tail_lat: {'0.500000': '457.983', '0.900000': '627.199', '0.990625': '715.263'}
RPS: 15600, tail_lat: {'0.500000': '667.647', '0.900000': '920.575', '0.990625': '1021.951'}
RPS: 15800, tail_lat: {'0.500000': '892.927', '0.900000': '1263.615', '0.990625': '1405.951'}
end experiment
