start experiment
RPS: 15000, tail_lat: {'0.500000': '94.783', '0.900000': '1095.679', '0.990625': '2054.143'}
RPS: 15200, tail_lat: {'0.500000': '2.079', '0.900000': '13.703', '0.990625': '27.375'}
RPS: 15400, tail_lat: {'0.500000': '2.237', '0.900000': '13.527', '0.990625': '15.231'}
RPS: 15600, tail_lat: {'0.500000': '2.451', '0.900000': '13.447', '0.990625': '26.959'}
RPS: 15800, tail_lat: {'0.500000': '3.757', '0.900000': '27.503', '0.990625': '50.175'}
RPS: 16000, tail_lat: {'0.500000': '2.993', '0.900000': '13.183', '0.990625': '26.239'}
RPS: 16200, tail_lat: {'0.500000': '3.205', '0.900000': '12.791', '0.990625': '28.223'}
RPS: 16400, tail_lat: {'0.500000': '4.083', '0.900000': '15.255', '0.990625': '29.535'}
RPS: 16600, tail_lat: {'0.500000': '4.175', '0.900000': '12.591', '0.990625': '28.479'}
RPS: 16800, tail_lat: {'0.500000': '5.879', '0.900000': '15.991', '0.990625': '27.887'}
RPS: 17000, tail_lat: {'0.500000': '12.847', '0.900000': '58.879', '0.990625': '85.887'}
RPS: 17200, tail_lat: {'0.500000': '44.191', '0.900000': '76.287', '0.990625': '116.863'}
RPS: 17400, tail_lat: {'0.500000': '117.631', '0.900000': '195.711', '0.990625': '258.431'}
RPS: 17600, tail_lat: {'0.500000': '243.711', '0.900000': '391.423', '0.990625': '489.471'}
RPS: 17800, tail_lat: {'0.500000': '408.831', '0.900000': '618.495', '0.990625': '763.903'}
end experiment
