start experiment
RPS: 42000, tail_lat: {'0.500000': '28.367', '0.900000': '36.991', '0.990625': '56.991'}
RPS: 42200, tail_lat: {'0.500000': '3.673', '0.900000': '7.815', '0.990625': '43.455'}
RPS: 42400, tail_lat: {'0.500000': '0.703', '0.900000': '0.991', '0.990625': '33.791'}
RPS: 42600, tail_lat: {'0.500000': '0.721', '0.900000': '1.121', '0.990625': '26.639'}
RPS: 42800, tail_lat: {'0.500000': '5.103', '0.900000': '7.483', '0.990625': '39.551'}
RPS: 43000, tail_lat: {'0.500000': '0.734', '0.900000': '1.063', '0.990625': '38.015'}
RPS: 43200, tail_lat: {'0.500000': '0.754', '0.900000': '1.108', '0.990625': '40.191'}
RPS: 43400, tail_lat: {'0.500000': '0.784', '0.900000': '2.487', '0.990625': '4.739'}
RPS: 43600, tail_lat: {'0.500000': '0.778', '0.900000': '1.154', '0.990625': '32.959'}
RPS: 43800, tail_lat: {'0.500000': '0.801', '0.900000': '1.209', '0.990625': '34.239'}
RPS: 44000, tail_lat: {'0.500000': '1.120', '0.900000': '4.839', '0.990625': '41.823'}
RPS: 44200, tail_lat: {'0.500000': '0.877', '0.900000': '3.311', '0.990625': '41.919'}
RPS: 44400, tail_lat: {'0.500000': '0.913', '0.900000': '2.965', '0.990625': '33.823'}
RPS: 44600, tail_lat: {'0.500000': '3.863', '0.900000': '8.591', '0.990625': '39.135'}
RPS: 44800, tail_lat: {'0.500000': '1.292', '0.900000': '4.263', '0.990625': '34.559'}
RPS: 45000, tail_lat: {'0.500000': '3.051', '0.900000': '6.459', '0.990625': '29.151'}
RPS: 45200, tail_lat: {'0.500000': '8.151', '0.900000': '14.551', '0.990625': '39.199'}
RPS: 45400, tail_lat: {'0.500000': '5.783', '0.900000': '11.887', '0.990625': '46.335'}
RPS: 45600, tail_lat: {'0.500000': '11.367', '0.900000': '19.183', '0.990625': '36.063'}
RPS: 45800, tail_lat: {'0.500000': '18.959', '0.900000': '26.719', '0.990625': '35.839'}
RPS: 46000, tail_lat: {'0.500000': '57.311', '0.900000': '78.463', '0.990625': '93.503'}
RPS: 46200, tail_lat: {'0.500000': '105.023', '0.900000': '146.431', '0.990625': '171.775'}
RPS: 46400, tail_lat: {'0.500000': '196.351', '0.900000': '264.191', '0.990625': '305.663'}
RPS: 46600, tail_lat: {'0.500000': '263.423', '0.900000': '361.215', '0.990625': '410.367'}
RPS: 46800, tail_lat: {'0.500000': '369.663', '0.900000': '512.511', '0.990625': '573.951'}
end experiment
