start experiment
RPS: 15000, tail_lat: {'0.500000': '68.735', '0.900000': '94.399', '0.990625': '108.415'}
RPS: 15200, tail_lat: {'0.500000': '2.067', '0.900000': '13.663', '0.990625': '27.263'}
RPS: 15400, tail_lat: {'0.500000': '2.271', '0.900000': '13.567', '0.990625': '16.559'}
RPS: 15600, tail_lat: {'0.500000': '2.857', '0.900000': '14.719', '0.990625': '26.959'}
RPS: 15800, tail_lat: {'0.500000': '2.845', '0.900000': '13.295', '0.990625': '16.031'}
RPS: 16000, tail_lat: {'0.500000': '3.025', '0.900000': '13.071', '0.990625': '28.191'}
RPS: 16200, tail_lat: {'0.500000': '4.029', '0.900000': '16.295', '0.990625': '38.623'}
RPS: 16400, tail_lat: {'0.500000': '3.715', '0.900000': '12.711', '0.990625': '16.703'}
RPS: 16600, tail_lat: {'0.500000': '4.371', '0.900000': '12.687', '0.990625': '23.855'}
RPS: 16800, tail_lat: {'0.500000': '16.479', '0.900000': '35.967', '0.990625': '50.015'}
RPS: 17000, tail_lat: {'0.500000': '15.391', '0.900000': '36.287', '0.990625': '54.271'}
RPS: 17200, tail_lat: {'0.500000': '47.455', '0.900000': '89.471', '0.990625': '121.791'}
RPS: 17400, tail_lat: {'0.500000': '137.727', '0.900000': '218.367', '0.990625': '276.479'}
RPS: 17600, tail_lat: {'0.500000': '244.991', '0.900000': '375.295', '0.990625': '475.903'}
RPS: 17800, tail_lat: {'0.500000': '450.047', '0.900000': '663.039', '0.990625': '804.351'}
end experiment
